pos,pts,ast,trb,stl,blk
C,538.57,76.52,381.77,26.29,50.08
C-F,404.37,58.27,43.22,0.0,0.0
C-PF,387.66,56.36,285.52,25.5,35.3
C-SF,341.0,47.0,259.0,12.0,13.0
F,127.01,20.53,19.82,0.0,0.0
F-C,403.76,76.24,66.43,0.0,0.0
F-G,337.04,74.0,18.91,0.0,0.0
G,216.27,51.12,14.41,0.0,0.0
G-F,326.56,85.01,24.2,0.0,0.0
PF,592.42,88.39,351.57,33.35,30.46
PF-C,375.95,57.95,261.88,24.75,25.55
PF-SF,403.59,60.15,190.38,27.46,18.82
PG,624.17,265.8,158.71,53.45,8.38
PG-SF,1022.0,329.0,266.0,51.0,22.0
PG-SG,588.44,194.27,138.87,37.89,6.64
SF,634.72,108.96,250.5,39.56,18.83
SF-C,87.0,25.0,55.0,8.0,5.0
SF-PF,435.81,66.11,194.63,29.33,17.0
SF-PG,543.0,122.0,383.0,0.0,0.0
SF-SG,598.5,118.15,196.43,45.78,16.28
SG,640.12,142.49,165.51,42.32,11.79
SG-PF,1014.0,177.5,291.5,70.75,26.5
SG-PG,492.27,167.8,122.41,36.36,8.41
SG-PG-SF,198.0,184.0,126.0,29.0,5.0
SG-SF,463.5,91.47,148.14,36.11,13.89
